TOT CHKOUT,TITLE,AUTHOR,PUBLISHER,CREATED(ITEM),AGE
6,"Oblivion song. Chapter one / Robert Kirkman, writer/creator Lorenzo De Felici, artist/creator Annalisa Leoni, colorist Rus Wooton, letterer Lorenzo De Felici, cover.","Kirkman, Robert, author.","Portland, OR : Image Comics, [2018]",2019,YA
5,"Batman : the man who laughs / Ed Brubaker, writer Doug Mahnke, Patrick Zircher, pencillers Doug Mahnke, Aaron Sowd, Steve Bird, inkers David Baron, Jason Wright, colorists Rob Leigh, Todd Klein, letterers Dough Mahnke, Tim Sale, original series covers.","Brubaker, Ed., author.","New York : DC Comics, [2008]",2019,YA
4,"Star Wars. Darth Vader. [2], Shadows and secrets / writer, Kieron Gillen artist, Salvador Larroca colorist, Edgar Delgado letterer, VC's Joe Caramagna cover art, Adi Granov.","Gillen, Kieron, author.","New York : Marvel Worldwide, Inc., a subsidiary of Marvel Entertainment, LLC, 2016.",2019,YA
3,"Mighty Morphin Power Rangers. Volume five / written by Kyle Higgins illustrated by Hendry Prasetya (chapters 17-19) with assistance by Daniel Bayliss, Daniele Di Nicuolo (chapter 20) colors by Matt Herms (chapers 17-19) with assistance by Sigi Ironmonger, Joana Lafuente (chapters 18-19), Walter Baiamonte (chapter 20) letters by Ed Dukeshire cover by Jamal Campbell.","Higgins, Kyle, 1985- author.","Los Angeles, CA : Boom! Studios, [2018]",2019,YA
24,"Laser Moose and Rabbit Boy, 1 / Doug Savage.","Savage, Doug, artist, author.","Kansas City, Missouri : Andrews McMeel Publishing, a division of Andrews McMeel Universal, [2016]",2019,J
22,"Laser Moose and Rabbit Boy, 2. Disco fever / Doug Savage.","Savage, Doug, artist, author.","Kansas City, Missouri : Andrews McMeel Publishing, [2017]",2019,J
8,Buffy the vampire slayer. New school nightmare / Carolyn Nowak.,"Nowak, Casey, author, illustrator.","New York : Little, Brown and Company, 2018.",2019,J
4,"She-hulk. 2, Let them eat cake / writer, Mariko Tamaki artists, Georges Duarte, Julian Lopez, Francesco GastÃ³n, Bachan color artists, Matt Milla, Federico Blee letterers, VC's Cory Petit, VC's Travis Lanham cover art, John Tyler Christopher.","Tamaki, Mariko, author.","New York, NY : Marvel Worldwide, LLC, [2017].",2019,YA
3,"Rebels. Volume 2, These free and independent states / story, Brian Wood art, Andrea Mutti, Luca Casalanguida, Joan Urgell colors, Lauren Affe lettering, Jared K. Fletcher cover art, Matt Taylor.","Wood, Brian, 1972- author, creator.","Milwaukie, OR : Dark Horse Books, 2018.",2019,YA
1,Lowriders blast from the past / by Cathy Camper illustrated by Raul the Third.,"Camper, Cathy, author.","San Francisco : Chronicle Books, [2018];""Â©2018""",2019,J
29,"Yes, I'm hot in this : the hilarious truth about life in a hijab / Huda Fahmy.","Fahmy, Huda, author, illustrator.","New York : Adams Media Corporation, 2018.",2019,YA
9,Giant days Volume eight / created & written by John Allison illustrated by Max Sarin inks by Liz Fleming colors by Whitney Cogar letters by Jim Campbell.,"Allison, John, 1976- author, creator.","Los Angeles : Boom! Studios, 2018.",2019,YA
8,"Batman : Sins of the father / Christos Gage, writer Raffaele Ienco, artist Guy Major, colorist Josh Reed, letterer Raffaele Ienco and Guy Major, collection cover artists.","Gage, Christos, writer.","Burbank, CA : DC Comics, [2018]",2019,YA
6,"The brave and the bold : Batman and Wonder Woman / Liam Sharp, writer and artist Romulo Fajardo Jr., colorist ALW's Troy Peteri, letterer Sharp & Fajardo Jr., collection cover artists.","Sharp, Liam, writer, artist.","Burbank, CA : DC Comics, [2018]",2019,YA
5,"Red Hood and the Outlaws. Vol. 4, Good night, Gotham / Scott Lobdell, writer Dexter Soy, Alisson Borges, Marcio Takara [and others], artists Veronica Gandini, Rob Schwager, Felix Serrano [and others], colorists Taylor Esposito, letterer Guillem March, collection cover artist.","Lobdell, Scott, writer.","Burbank, CA : DC Comics, [2018]",2019,YA
2,"Star Wars. Lando : double or nothing / writer, Rodney Barnes artist, Paolo Villanelli color artist, Andres Mossa letterer, VC's Joe Caramagna cover art, Scott Forbes.","Barnes, Rodney, author.","New York : Marvel Comics, 2018.",2019,YA
2,"Runaways. 2, Best friends forever / writer, Rainbow Rowell penciler, Kris Anka inkers, Kris Anka with Craig Yeung color artists, Matthew Wilson & TrÃ­ona Farrell letterer, VC's Joe Caramagna cover art, Kris Anka.","Rowell, Rainbow, author.","New York, NY : Marvel Worldwide Inc., [2018];""Â©2018""",2019,YA
86,Dog Man. Brawl of the wild / written and illustrated by Dav Pilkey as George Beard and Harold Hutchins   with color by Jose Garibaldi.,"Pilkey, Dav, 1966-, author, artist.","New York : Graphix, an imprint of Scholastic, 2019.",2019,J
53,"Another Phoebe and her unicorn adventure. 5, Unicorn crossing / Dana Simpson.","Simpson, Dana, 1977-, author, illustrator.","Kansas City, Missouri : Andrew McMeel Publishing, a division of Andrews McMeel Universal, [2017];""Â©2017""",2019,J
29,Big Nate : silent but deadly / Lincoln Peirce.,"Peirce, Lincoln, author, illustrator.","Kansas City, Missouri : Andrews McMeel Publishing, [2018];""Â©2018""",2019,J
4,"Black Hammer. Volume 3, Age of doom. Part I / writer, Jeff Lemire artist, Dean Ormston colorist, Dave Stewart letterer, Todd Klein cover by Dean Ormston and Dave Stewart.","Lemire, Jeff, writer.","Milwaukie, OR : Dark Horse Books, 2019.",2019,YA
97,Witch boy. [2] The hidden witch / Molly Knox Ostertag.,"Ostertag, Molly Knox, author, illustrator.","New York, NY : Graphix, an imprint of Scholastic, 2018.",2019,J
4,"Lumberjanes. 10, Parents' day / written by Shannon Watters & Kat Leyh illustrated by Ayme Sotuyo colors by Maarta Laiho letters by Aubrey Aiese cover by Kat Leyh.","Watters, Shannon, author.","Los Angeles, CA : BOOM! Box, 2018.",2019,J
4,"Lumberjanes. 8, Stone cold / written by Shannon Watters & Kat Leyh illustrated by Carey Pietsch colors by Maarta Laiho letters by Aubrey Aiese cover by Noelle Stevenson.","Watters, Shannon, author.","Los Angeles : BOOM! Box Studios, [2018]",2019,J
3,"Lumberjanes. 9, On a roll / written by Shannon Watters & Kat Leyh illustrated by Carolyn Nowak colors by Maarta Laiho letters by Aubrey Aiese cover by Brooklun Allen.","Watters, Shannon, author.","Los Angeles, CA : Boom! Box, a division of Boom Entertainment, Inc., [2018]",2019,J
1,"Lumberjanes. 7, A bird's-eye view / written by Shannon Watters & Kat Leyh illustrated by Carey Pietsch, Ayme Sotuyo colors by Maarta Laiho letters by Aubrey Aiese.","Watters, Shannon, author.","Los Angeles, CA : BOOM! Box, a division of Boom Entertainment, Inc., 2017.",2019,J
7,"The Bunker. Volume 1 / written by Joshua Hale Fialkov   illustrated, colored, and lettered by Joe Infurnari.","Fialkov, Joshua Hale, 1979- author.","Portland, OR : Oni Press, 2014.",2019,YA
6,"The bunker. Volume 2 / written by Joshua Hale Fialkov   illustrated, colored, and lettered by Joe Infurnari   flatted by Jason Fischer   edited by James Lucas Jones and Robin Herrera..","Fialkov, Joshua Hale, 1979- author.","Portland, OR : Oni Press, 2015.;""2015""",2019,YA
4,"Letter 44. Volume 1, Escape velocity / written by Charles Soule   illustrated by Alberto JimÃ©nez Alburquerque   chapters 1-3 colored by Guy Major, chapters 4-6 colored by Dan Jackson   lettered by Shawn Depasquale.","Soule, Charles, author.","Portland, OR : Oni Press, 2014.",2019,YA
4,"Letter 44. Volume II, Redshift / written by Charles Soule   illustrated by Alberto JimÃ©nez Alburquerque   colored by Dan Jackson   lettered by Crank.","Soule, Charles, author.","Portland, OR : Oni Press, 2015.",2019,YA
40,The Titan's curse : the graphic novel / by Rick Riordan   adapted by Robert Venditti   art by Attila Futaki   color by Gregory Guilhaumond   lettering by Chris Dickey.,"Venditti, Robert, author.","New York : Disney/Hyperion Books, 2013.",2019,J
36,"Plants vs. zombies. 11, War and peas / written by Paul Tobin   pencils by Brian Churilla   inks by Brian Churilla and Christianne Gillenardo-Goudreau   colors by Heather Breckel   letters by Steve Dutro.","Tobin, Paul, 1965- author.","Milwaukie, OR : Dark Horse Books, 2018.",2019,J
18,"Gillbert. #1, The little merman / by Art Baltazar.","Baltazar, Art, author, illustrator.","New York : Papercutz, [2018]",2019,J
9,"Mouse Guard. Vol. 1, Fall 1152 / story & art by David Petersen.","Petersen, David, 1977- author, artist.","Fort Lee, N.J. : Archaia Studio Press, [2007]",2019,J
4,Otto's backwards day / by Frank Cammuso with Jay Lynch.,"Cammuso, Frank, author, illustrator.","New York, NY : Toon Books, is an imprint of Candlewick Press, [2013].",2019,J
22,The return of Zita the spacegirl / Ben Hatke,"Hatke, Ben. author","New York : First Second Books, 2014.",2019,J
11,Copper / [by Kazu Kibuishi].,"Kibuishi, Kazu, 1978-","New York : Graphix, 2010.",2019,J
15,"Batman/Teenage Mutant Ninja Turtles, II / James Tynion IV, Ryan Ferrier, writers Freddie E. Williams II, artist Jeremy Colwell, colorist Tom Napolitano, letterer.","Tynion, James, IV, author.","Burbank, CA : DC Comics, [2018];""Â©2018""",2019,YA
12,"Old Man Logan. 9, The hunter and the hunted / writer, Ed Brisson artist, Francesco Manna, Juan Ferreyra color artist, Carlos Lopez letterer, VC's Cory Petit Cover art, Mike Deodato Jr., Carlos Lopez.","Brisson, Ed, author.","New York, NY : Marvel Worldwide, Inc., [2018]",2019,YA
11,"Star Wars : Darth Vader, dark lord of the Sith. Vol. 4, Fortress Vader / writer, Charles Soule penciler, Giuseppe Camuncoli inker, Cam Smith with Terry Pallot colorists, David Curiel, Dono Sanchez-Almara, Erick Arciniega letterers, VC's Joe Caramagna, Travis Lanham cover art, Giuseppe Camuncoli, Elia Bonetti.","Soule, Charles, author.","New York : Marvel Worldwide, Inc., a subsidiary of Marvel Entertainment, LLC, [2017]",2019,YA
10,"The Giver / based on the novel by Lois Lowry adapted by P. Craig Russell illustrated by P. Craig Russell, Galen Showman, Scott Hampton colorist, Lovern Kindzierski letterer, Rick Parker based on the novel by Lois Lowry.","Russell, P. Craig, adapter, illustrator.","New York : Houghton Mifflin Harcourt [2019];""Â©1993.""",2019,YA
9,"Dark days : the road to metal / writers, Scott Snyder, James Tynion IV, Grant Morrison, Tim Seeley pencilers, Jim Lee, Andy Kubert, John Romita Jr. Chris Sprouse, Greg Capullo, Eddy Barrows inkers, Scott Williams, Klaus Janson, Danny Miki [and others] colorists, Alex Sinclair, Jeremiah Skipper [and others] letterers, Steve Wands, Jared K. Fletcher [and others] artists, Doug Mahnke, J. G. Jones [and others].",,"Burbank, CA : DC Comics, [2018]",2019,YA
8,"Super Sons of tomorrow / Peter J. Tomasi, Patrick Gleason, writers Jorge Jimenez, Ryan Benjamin, Richard Friend [and others], artists Alejandro Sanchez, Gabe Eltaeb [and others], colorists Rob Leigh, Corey Breen, letterers Francis Manapul, collection cover artist.","Tomasi, Peter, writer.","Burbank, CA : DC Comics, [2018]",2019,YA
8,"Venom. Vol. 1, Rex / writer, Donny Cates penciler, Ryan Stegman inker, JP Mayer color artist, Frank Martin letterer, VC's Clayton Cowles cover artists, Ryan Stegman, Frank Martin, JP Mayer.","Cates, Donny, author.","New York, NY : Marvel Worldwide, Inc., 2018.",2019,YA
5,"Green Lanterns. Vol. 8, Ghosts of the past / Tim Seeley, Aaron Gillespie, writers Ronan Cliquet, V Ken Marion, Roge Antonio, Sandu Florea, artists Hi-Fi, Dinei Ribeiro, colorists Dave Sharpe, letterer Brett Booth, Norm Rapmund and Andrew Dalhouse, collection cover artists.","Seeley, Tim, writer.","Burbank, CA : DC Comics, [2019]",2019,YA
5,"Suicide Squad. Vol. 7, Drain the swamp / Rob Williams, Si Spurrier, writers Eduardo Pansica, Fernando Pasarin, Tom Derenick [and others], pencillers Julio Ferreira, Oclair Albert, Tom Derenick [and others], inkers Adriano Lucas, Blond [and others], colorists Pat Brosseau, letterer Eddy Barrows, Eber Ferreira and Adriano Lucas, collection cover artists.","Williams, Rob (Robert Glyndwr), author.","Burbank, CA : DC Comics, [2018]",2019,YA
4,"Star wars. Vol. 9, Hope dies / writers, Kieron Gillen (issues #50-55, 'Shu-Torun lives'), Cullen Bunn (annual #4) artists, Salvador Larroca (issues #50-55), Ario Anindito, Roland Boschi, Marc Laming (annual #4) color artists, Guru-eFX (issues #50-55), Jordan Boyd, Andres Mossa (annual #4) penciler, Guiseppe Camuncoli ('Shu-Torun lives') inker, Cam Smith ('Shu-Torun lives'), colorist, Java Tartaglia ('Shu-Torun lives') letterer, VC's Clayton Cowles ('Shu-Torun lives, annual #4).","Gillen, Kieron, author.","New York : Marvel Worldwide, Inc., [2018]",2019,YA
3,"Black Panther. Book 6, The intergalactic empire of Wakanda. Part one, Many thousands gone / Ta-Nehisi Coates, writer Daniel Acuna, artist Jen Bartel, artist Paul Reinwand, layouts Triona Farrell, color artist VC's Joe Sabino, letterer Daniel Acuna, InHuyuk Lee, Paolo Rivera, cover art.","Coates, Ta-Nehisi, author.","New York, NY : Marvel Worldwide, Inc., [2018];""Â©2018.""",2019,YA
20,"Miss Kobayashi's dragon maid. 1. / story & art by coolkyousinnjya   translation, Jenny McKeon   adaptation, Shanti Whitesides.","Coolkyousinnjya (Manga author) author, artist.","[Los Angeles, California] : Seven Seas Entertainment, [2016]",2019,YA
12,"Miss Kobayashi's dragon maid. 2 / story & art by coolkyousinnjya   translation, Jenny McKeon   adaptation, Shanti Whitesides.","Coolkyousinnjya (Manga author) author, artist.","[Los Angeles, California] : Seven Seas Entertainment, LLC, [2017];""Â©2013""",2019,YA
11,Miss Kobayashi's dragon maid. 3 / story & art by coolkyousinnjya.,"Coolkyousinnjya (Manga author) author, artist.","[Los Angeles, California] : Seven Seas Entertainment, LLC, [2017];""Â©2013""",2019,YA
11,"Skyward. Volume one, 'My low-G life' / writer, Joe Henderson   art & cover, Lee Garbett   colorist, Antonio Fabela   letterer, Simon Bowland.","Henderson, Joe (Joseph H.), 1979- author.","Portland, Oregon : Image Comics, Inc., [2019];""Â©2019.""",2019,YA
7,Cicada / Shaun Tan.,"Tan, Shaun, author, illustrator.","New York, NY : Arthur A. Levine Books, an imprint of Scholastic Inc., [2019]",2019,YA
131,"The baby-sitters club. 5, Dawn and the impossible three / a graphic novel by Gale Galligan with color by Braden Lamb.","Galligan, Gale, author, artist.","New York : Graphix, an imprint of Scholastic, 2017.",2019,J
17,My little pony : Ponyville mysteries / written by Christina Rice art by Agnes Garbowska colors by Heather Breckel letters by Neil Uyetake and Christa Miesner.,"Rice, Christina, 1974- author.","San Diego, CA: IDW Publishing, [2019];""Â©2019""",2019,J
12,Junior High Drama : The school musical meltdown / by Jessica Gunderson illustrated by Sumin Cho.,"Gunderson, Jessica, author.","North Mankato, Minnesota : Stone Arch Books, a Capstone imprint, [2019]",2019,J
11,"Big Nate, Mr. Popularity / Lincoln Peirce.","Peirce, Lincoln, author, illustrator.","New York, NY : Harper, an imprint of HarperCollinsPublishers, [2014]",2019,J
10,The dumbest idea ever! / by Jimmy Gownley.,"Gownley, Jimmy, author, illustrator.","New York, NY : Scholastic Press/Graphix, 2014.",2019,J
4,"Super Potato. #2, Super Potato's galactic breakout / Artur Laperla.","Laperla (Artist), author, illustrator.","Minneapolis : Graphic Universe, 2019.;""Â©2012.""",2019,J
2,Faceoff fall out / text by Brandon Terrell art by Eduardo Garcia color by Benny Fuentes lettering by Jaymes Reed cover art by Fern Cano.,"Terrell, Brandon, 1978-2021 author.","North Mankato, Minnesota : Stone Arch Books, a Capstone imprint, [2018]",2019,J
1,"Star Wars adventures. Volume 4, The trouble at Tibrin, Part 1 / writers: Landry Q. Walker, Ben Acker, Ben Blacker artists: Eric Jones, Annie Wu colorists: Charlie Kirchoff, Lee Loughridge letterers: Tom B. Long, Christa Miesner.",,"San Diego, CA : IDW Publishing, 2018.",2019,J
24,"Amulet. Book 2, The stonekeeper's curse / Kazu Kibuishi.","Kibuishi, Kazu, 1978-, author, artist.","New York : Graphix, an imprint of Scholastic, 2009.",2019,J
20,"Amulet. Book 1, The Stonekeeper / Kazu Kibuishi.","Kibuishi, Kazu, 1978- author.","New York : Graphix, 2008.",2019,J
8,"Baby Monkey, private eye / story by Brian Selznick and David Serlin   pictures by Brian Selznick.","Selznick, Brian, author, illustrator.","New York : Scholastic Press, 2018.",2019,J
2,Small things / Mel Tregonning.,"Tregonning, Mel, 1983-2014, author, illustrator.","Toronto, Ontario, Canada : Pajama Press, 2018.",2019,J
8,New kid / Jerry Craft with colors by Jim Callahan.,"Craft, Jerry, author, illustrator.","New York : Harper, an imprint of HarperCollinsPublishers, [2019]",2019,YA
15,"My hero academia. 17 Lemillion / story & art, Kohei Horikoshi translation & English adaptation, Caleb Cook touch-up art & lettering, John Hunt.","Horikoshi, KÅhei, 1986- author, illustrator.","San Francisco, CA : Viz Media, LLC, [2019];""Â©2014""",2019,YA
10,"The Flash. Vol. 8, Flash war / Joshua Williamson, writer Howard Porter, Scott Kolins, artists Hi-Fi, Luis Guerrero, colorists Steve Wands, Travis Lanham, Carlos M. Mangual, letterers Howard Porter and Hi-Fi, collection cover artists.","Williamson, Joshua, author.","Burbank, CA : DC Comics, [2018]",2019,YA
9,"The amazing Spider-Man. Worldwide. Vol. 9 / Dan Slott, writer Stuart Immonen, Nick Bradshaw [and others], pencillers Wade Von Grawbadger, Nick Bradshaw [and others], inkers Marte Gracia, Edgar Delgado, Muntsa VIcente [and others], color artists Marcos Martin, artist VC's Joe Caramagna, letterer Alex Ross, cover art.","Slott, Dan, author.","New York, NY : Marvel Worldwide, Inc., a subsidiary of Marvel Entertainment, LLC, [2018]",2019,YA
4,"Mera, Queen of Atlantis / Dan Abnett, writer Lan Medina, penciller Norm Rapmund, Richard Friend, inkers Veronica Gandini, colorist Simon Bowland, letterer Nicola Scott, Romulo Fajardo Jr., series cover artists Stanley Artgerm Lau, collection cover artist.","Abnett, Dan, writer.","Burbank, CA : DC Comics, [2018]",2019,YA
3,Mighty Morphin Power Rangers. Volume six / written by Kyle Higgins illustrated by Jonas Scharf with the assistance of Jagdish Kuman colors by Joana Lafuente letters by Ed Dukeshire cover by Jamal Campbell.,"Higgins, Kyle, 1985- author.","Los Angeles, CA : Boom! Studios, a division of Boom Entertainment Inc., [2018]",2019,YA
11,"Mister Miracle / Tom King, writer Mitch Gerads, artist and colorist Clayton Cowles, letterer Mitch Gerads, collection cover art Nick Derington, original series cover art.","King, Tom, 1978- writer.","Burbank, CA : DC Comics, [2019]",2019,YA
30,The mushroom fan club / Elise Gravel.,"Gravel, Elise, author, illustrator.","New York : Drawn & Quarterly, 2018.",2019,J
12,The creepy case files of Margo Maloo / Drew Weing.,"Weing, Drew, author, artist.","New York : First Second, 2016.",2019,J
17,The prince and the dressmaker / Jen Wang.,"Wang, Jen, 1984-, author, artist.","New York : First Second, 2018.",2019,YA
11,"Star Wars adventures. Heroes of the galaxy / writers, Landry Q. Walker [and three others]   artists, Derek Charm, Elsa Charretier   penciller, Jon Sommariva   inker, Sean Parsons   colorists, Charlie Kirchoff, Sarah Stern   letterers, Robbie Robbins, Tom B. Long.",,"San Diego, CA : IDW Publishing, [2017]",2019,J
14,Garfield. Snack pack. Volume 1 / by Jim Davis.,"Davis, Jim, 1945 July 28- author, illustrator.","Los Angeles, CA : Boom! Studios, [2018];""Â©2018""",2019,J
15,Tiger vs. nightmare / Emily Tetri.,"Tetri, Emily, author, illustrator.","New York : First Second, 2018.",2019,J
9,"Isola. Chapter 1 / Brenden Fletcher / Karl Kerschl, story Karl Kerschl / Msassyk, art Aditya Bidikar, letters.","Fletcher, Brenden, author.","Portland, Oregon : Image Comics, Inc., [2018];""Â©2018""",2019,YA
8,"The life of Captain Marvel / writer, Margaret Stohl penciler (present day), Carlos Pacheco inker (present day), Rafael Fonteriz colorist (present day), Marcio Menyz with Federico Blee (#5) artist (flashbacks, #1-3 & #5) Marguerite Sauvage artists (flashbacks, #4), Erica D'Urso & Marco Menyz letterer, VC's Clayton Cowles cover art, Julian Totino Tedesco.","Stohl, Margaret, author.","New York, NY : Marvel Worldwide, Inc., [2018]",2019,YA
5,Dear Sister / by Alison McGhee illustrated by Joe Bluhm.,"McGhee, Alison, 1960-, author.","New York : Atheneum Books for Young Readers, [2018]",2019,J
5,"Port of Earth. Vol. 1 / Zack Kaplan, writer Andrea Mutti, artist Vladimir Popov, colorist Troy Peteri, letterer.","Kaplan, Zack, author.","Los Angeles : Top Cow Productions, [2018]",2019,YA
5,"Star wars : Doctor Aphra. 4, The catastrophe con / writer, Si Spurrier penciler, Kev Walker inker, Marc Deering color artist, Java Tartaglia letterer, VC's Joe Caramagna cover art, Ashley Witter.","Spurrier, Simon, author.","New York : Marvel Comics, [2018]",2019,YA
4,"Flavor. [Vol. 1] / Joseph Keatinge, co-creator/writer Wook Jin Clark, co-creator/artist Tamra Bonvillain, colorist Fernando ArgÃ¼ello, flatting assistant Ariana Maher, letterer Ali Bouzari, culinary consultant.","Keatinge, Joe, author.","Portland, OR : Image Comics, [2018].;""Â©2018.""",2019,YA
32,"Junior high drama : a graphic novel / written by Louise Simonson, Jessica Gunderson, & Jane B. Mason illustrated by Sumin Cho.",,"North Mankato, Minnesota : Stone Arch Books, a capstone imprint, [2019]",2019,J
16,"According to Aggie / created by Mary Richards Beaumont, Dan Nordskog & Genevieve Kote.","Beaumont, Mary Richards, 1974- author.","Middleton, WI : American Girl Publishing, [2017];""Â©2017""",2019,J
11,"Plants vs. zombies. 7, Battle extravagonzo / written by Paul Tobin art by Tim Lattie colors by Matt J. Rainwater letters by Steve Dutro cover by Ron Chan.","Tobin, Paul, 1965- author.","Milwaukie, OR : Dark Horse Books, 2017.",2019,J
10,"Plants vs. zombies. 4, Grown sweet home / written by Paul Tobin art by Andie Tong colors by Matthew J. Rainwater letters by Stephen Dutro cover by Andie Tong.","Tobin, Paul, 1965- author.","Milwaukie, OR : Dark Horse Books, 2016.",2019,J
28,"The handmaid's tale / Margaret Atwood   art & adaptation, Renee Nault.","Atwood, Margaret, 1939-, author.","New York : Nan A. Talese / Doubleday, [2019]",2019,YA
21,"The Umbrella Academy. Vol. 1, Apocalypse suite / story, Gerard Way   art, Gabriel Ba   colors, Dave Stewart   [with an introduction by Grant Morrison and an afterword by Scott Allie].","Way, Gerard, author.","Milwaukie, OR : Dark Horse, c2008.",2019,YA
16,"The Umbrella Academy. Vol. 2, Dallas / story, Gerard Way   art, Gabriel Ba   colors, Dave Stewart   letters, Nate Piekos.","Way, Gerard, author.","Milwaukie, Or. : Dark Horse, 2009.",2019,YA
55,Mr. Wolf's class. Mystery club / Aron Nels Steinke.,"Steinke, Aron Nels, author, artist.","New York : Graphix, an imprint of Scholastic, 2019.",2019,J
0,"Jupiter Jet. 1 / written by Jason Inman & Ashley Victoria Robinson lineart by Ben Matsuya colors by, Mara Jayne Carpenter color flats by Sara Alfaqeeh & Tori Ridley letters by Taylor Esposito of Ghost Glyph Studios.","Inman, Jason, author.","[Pittsburgh, Pennsylvania] : Action Lab Entertainment, 2017.",2019,YA
31,"Amulet. Book 7, Firelight / written & illustrated by Kazu Kibuishi.","Kibuishi, Kazu, 1978-, author.","New York : Graphix, an imprint of Scholastic, 2016.;""Â©2016""",2019,J
15,"Miraculous : tales of Ladybug & Cat Noir. Season two, bye, bye little butterfly / adapted by Cheryl Black & Nicole D'Andria letters by Justin Birch.","Black, Cheryl, adapter.","[Pittsburgh, PA] : Action Lab, [2018]",2019,J
13,Endgames / Ru Xu.,"Xu, Ru, author, artist.","New York, NY : Graphix, an imprint of Scholastic, 2019.",2019,J
12,Nathan Hale's hazardous tales. Big bad ironclad! : a Civil War steamship showdown / [Nathan Hale].,"Hale, Nathan, 1976- author, artist.","New York : Amulet Books, an imprint of Abrams, 2012.",2019,J
10,"Kiki's delivery service. 1 / screenplay written, directed and produced by Hayao Miyazaki film comic adaptation, Yuji Oniki lettering, Rina Mapa from the novel by Eiko Kadono.","Oniki, Yuji, adaptor.","San Francisco : Viz Media, [2006]",2019,J
9,Akissi. Tales of mischief / Abouet & Sapin.,"Abouet, Marguerite, 1971-, author.","London : Flying Eye Books, 2018.",2019,J
7,"SCI-FU. Book 1, Kick it off / by Yehudi Mercado additional colors by David Wheeler.","Mercado, Yehudi, author, artist.","Portland, OR : Oni Press, 2018.",2019,J
6,Artemis Fowl. The eternity code : the graphic novel / adapted by Eoin Colfer & Andrew Donkin art by Giovanni Rigano color by Paolo Lamanna color separation by Studio Blinq lettering by Chris Dickey.,"Colfer, Eoin, author.","New York : Disney*Hyperion Books, [2013]",2019,J
5,Sonic the Hedgehog archives. Volume 14 / [various contributors],,"Mamaroneck, NY : Archie Comic Publications, [2010]",2019,J
2,"My little pony : friendship is magic. Volume 14 / written by Christina Rice, Ted Anderson art by Agnes Garbowska, Andy Price, Brenda Hickey colors by Heather Breckel letters by Neil Uyetake.","Rice, Christina, 1974- author.","San Diego, CA : IDW Publishing, [2018]",2019,J
